[NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 7ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 84ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 85ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 506ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 421ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 452ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 515ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 530ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 4096x2048 32768KB in 1021ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x64 32KB in 525ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x1024 8192KB in 528ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 87ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 88ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 459ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 371ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 375ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 468ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 384ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 385ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 225ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 64x128 32KB in 225ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 64x64 16KB in 225ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 220ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x2048 8192KB in 229ms
3VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 221ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 419ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 420ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 426ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 428ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 432ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 242ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 242ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 244ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 322ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 321ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 323ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 325ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 311ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 312ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 63ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x512 4096KB in 297ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x512 4096KB in 511ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x512 4096KB in 507ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 577ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 587ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 679ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 230ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 230ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 334ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 335ms
